location,count,link
"thompson creek (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#thompson%20creek%20(stream)"
"headquarters (city)",2,"https://evanwill.github.io/hearings-text/browse.html#headquarters%20(city)"
"silver valley (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#silver%20valley%20(landform)"
"long canyon-selkirk crest (wilderness)",2,"https://evanwill.github.io/hearings-text/browse.html#long%20canyon-selkirk%20crest%20(wilderness)"
"west virginia (state)",2,"https://evanwill.github.io/hearings-text/browse.html#west%20virginia%20(state)"
"smoky mountain (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#smoky%20mountain%20(landform)"
"panhandle forest (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#panhandle%20forest%20(forest)"
"parker creek (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#parker%20creek%20(stream)"
"wild river (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#wild%20river%20(stream)"
"needles peak (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#needles%20peak%20(landform)"
"idaho wilderness (wilderness)",2,"https://evanwill.github.io/hearings-text/browse.html#idaho%20wilderness%20(wilderness)"
"lost river (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#lost%20river%20(stream)"
"king mountain (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#king%20mountain%20(landform)"
"florida (state)",2,"https://evanwill.github.io/hearings-text/browse.html#florida%20(state)"
"georgia (state)",2,"https://evanwill.github.io/hearings-text/browse.html#georgia%20(state)"
"long canyon selkirk-crest (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#long%20canyon%20selkirk-crest%20(landform)"
"big lost river range (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#big%20lost%20river%20range%20(landform)"
"troy, idaho",2,"https://evanwill.github.io/hearings-text/browse.html#troy,%20idaho"
"mountains (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#mountains%20(landform)"
"delaware (state)",2,"https://evanwill.github.io/hearings-text/browse.html#delaware%20(state)"
"tenmile (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#tenmile%20(stream)"
"grangeville, idaho",2,"https://evanwill.github.io/hearings-text/browse.html#grangeville,%20idaho"
"maryland (state)",2,"https://evanwill.github.io/hearings-text/browse.html#maryland%20(state)"
"cataldo (city)",2,"https://evanwill.github.io/hearings-text/browse.html#cataldo%20(city)"
"post falls (city)",2,"https://evanwill.github.io/hearings-text/browse.html#post%20falls%20(city)"
"redfish lake (lake)",2,"https://evanwill.github.io/hearings-text/browse.html#redfish%20lake%20(lake)"
"anderson ranch dam (dam/reservoir)",2,"https://evanwill.github.io/hearings-text/browse.html#anderson%20ranch%20dam%20(dam/reservoir)"
"smith ridge (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#smith%20ridge%20(landform)"
"cleveland (city)",2,"https://evanwill.github.io/hearings-text/browse.html#cleveland%20(city)"
"eight mile (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#eight%20mile%20(forest)"
